,rating,text
0,5,"Чистота, без просроченных продуктов, персонал доброжелательный, свободные кассы."
1,5,"Здесь классная выпечка, и автомат с кофе. Кофе вкусный, за аппаратом следят."
2,5,"Отличный, большой магазин. Широченный ассортимент продуктов. Есть пекарня."
3,5,"Очень нравится эта ""Пятёрочка"". Всегда чисто и хорошо пахнет, товар разложен красиво и удобно, овощи и фрукты поражают свежестью! Вежливый персонал, обслуживают быстро. Очень компетентные заместители директора и сама директор! Всем рекомендую посетить!"
4,5,Всё просто на высшим уровне. Быстро и оперативно. Одним словом все бы так работали!!! Большой ассортимент товаров и причём  качественного товара. Персонал заслуживает таких положительных отзывов!!!
5,5,"Хороший магазин, большой выбор продуктов, есть системы скидок и дисконтные карты. В целом такой же магазин 5-ка, как и в Ростове и в Москве. Также продукты. Конечно же есть продукты местные (Аютинский хлеб и молоко какого производителя которого нет в Москве)\nКогда приезжаем в гости к родственникам, конечно же покупаем продукты в этом магазине."
6,5,"Очень хороший магазин. Всегда на полках свежий товар, наличие ценников, чистота. Очень приветливый и вежливый персонал. Хочу сказать большое спасибо за прекрасную работу!"
7,5,"Хорошие, добрые кассиры. Нужный товар всегда в наличии. Очень вкусные чипсы. Еще 1 плюс что находится рядом со школой. "
8,5,"Отличный магазин, большой выбор.\nОтзывчивые продавцы и отличная пекарня."
9,5,"Идеальное обслуживание, доброжелательный персонал, всё ценники подлежат своему товару \n\n"
10,5,"Очень нам нравится наша пятёрочка всегда чисто уютно вежливые продавцы всегда покажут  и расскажет где что лежит и даже принесут, рекомендую."
11,5,самая классная пятёрочка все есть все имеется рядом с домом была раньше другая на кольце было далеко а сейчас рядом что очень хорошо классно
12,5,"Хороший магазин, вежливый персонал, чисто, большой выбор товаров и продуктов питания, но желательно расширить ассортимент хозяйственных товаров"
13,5,"Мне очень нравится этот магазин, там всегда много акций,очень хороший вежливый персонал,всегда подскажут, обьяснят.Фрукты и овощи всегда в наличии и хорошего качества. Ассортимент товара хороший.В магазине всегда чисто и уютно."
14,5,"Большой ассортимент, добродушные продавцы и администраторы, свежая горячая выпечка и кофе, цены демократичные, всегда есть скидки, вообще всё отлично!!!"
15,5,"Хороший магазин, чистый, отличный ассортимент"
16,5,"Очень хороший магазин.  Есть выпечка, весь продуктовый ассортимент.  Хороший профессиональный коллектив."
17,5,"Чисто, уютно, большой выбор товаров. Очередей замечено не было. Несоответствия цен тоже не замечала. Персонал вежливый, всегда подскажут, если что -то нужно."
18,5,"После ремонта супер магазин, советую всем и ассортимент и цены всё в норме"
19,5,"Отзывчивыйперсонал,чистый магазин,товар весь на полках,качество соответствует,очередей нет,скидки и акции оформленны, очень хороший магазин. Можно найти ,что нужно"
20,5,"Хороший магазин,хлеб 👍 всегда свежий вкусный. Толко расположение портить персонал которого никогда нет на кассе,всегда одна касса  работает. Рядом белорусские продукти тоже хорошо"
21,5,Меня всё устраивает в этом магазине чистота идеальная продавцы вежливые кассиры внимательные общительные
22,5,"Как приятно после отпуска зайти в любимый, домашний магазин....за мой отпуск .... а там....поменяли ""тележки"". Очень приятно  увидеть  новых сотрудников!"
23,5,"Чисто, продукты хорошего качества, приветливые кассиры.Открывается-закрывается вовремя Имеется большая стоянка.Магазин у железнодорожных путей-очень удобно для людей, которые идут с работы домой.\nВсе по пути, все для людей!"
24,5,"Магазин чистенький , много всегда скидок что радует покупателя.  \nСпасибо большое за вежливость и отличное обслуживание в отделе мороженного  на развес,да и выпечка очень свежая 👍👍👍👍👍👍👍👍👍👍👍👍👍"
25,5,"5 лет стоил 5чки. В данном магазине всё устраивает, молодцы"
26,5,"Удобное расположение,чистота и большой выбор продукции"
27,5,"Хорошая пятёрка,все есть,быстрое на кассе обслуживание,есть парковка,все чисто."
28,5,"Обычный сетевик, но хотя бы следят девченки следят и за порядком что в зале что на полках, сколько не скупалась в этой пятерочке просрока не попадалось. Уцененка бывает, но ее сложновато найти😅 поверьте, я целенаправленно искала в молочке, так как владелеца 10 собак."
29,5,"Всегда есть выбор, продавцы замечательные, всегда помогут в выборе, в магазине всегда чисто."
30,5,"Расположение товара, обслуживание. Всё прекрасно, всем советую."
31,5,"Отличный магазин,  всё  ,что нужно  есть, чисто ,аккуратно,  вежливые сотрудники,  спросишь подскажут, я довольна.  Спасибо. "
32,5,"Хороший магазин, всё что нужно есть. Приличный ассортимент, сроки изготовления продукции в норме. Фрукты и овощи не залеживаются. Чисто, светло, очередей как таковых нет."
33,5,"Нормальная Пятерка, есть все необходимое. Бывают проблемы с фруктами."
34,5,"Не могла не оставить отзыв. \nХожу в данный магазин почти каждый день, с момента открытия! \nВсегда очень чисто, все свежее, сотрудники доброжелательные, недавно еще поставили автомат с кофе, но хотела бы выделить 1 случай.\nСегодня я как обычно здесь покупала продукты, по приходе домой, все разложила и только спустя пару часов поняла, что не могу найти помидоры и рис. \nИ тут я поняла, что скорее всего забыла их в магазине. \nРешила вернуться в магазин и поискать их там, хотя и не надеялась уже их вернуть. \nВ магазине, подошла к сотруднику (высокому молодому человеку), который был как раз возле камер, объяснила ситуацию и он без лишних вопросов начал проверять по камерам нужное мне время, чтобы посмотреть вообще, положила я в рюкзак помидоры и рис или нет 😅\nВсё посмотрели и оказывается, я их пробила и положила мимо корзины, пока упаковывала продукты и ушла, не заметив этого.\nДанный сотрудник (к сожалению не увидела имя) разрешил взять точно такие же продукты. \n\nБезумно ему благодарна, поскольку очень расстроилась из за своей невнимательности. \nПобольше бы таких людей! ☀️"
35,5,Расположение отличное близко персонал вежливый
36,5,"Очень приветливые, отзывчивые сотрудники магазина, приятно зайти в магазин, чистенько... Весь товар расположен удобно, магазин в шаговой доступности"
37,5,"Ура!Новая Пятёрочка!Отличный ремонт.Хорошее расположение касс.Чистота.За персонал ничего не могу сказать,все новенькие.Продукты по полоскам,холодильник без просрочки.Очереди не наблюдала.Спасибо за апгрейд!"
38,5,Отличный магазин! Выбор большой. Вежливые и отзывчивые продавцы. Ассортимент большой. Магазин чистый. 
39,5,"Заезжаю по пути, если что-то нужно, радуют акции на каждую категорию товаров, всегда чистенько"
40,5,"Хочу выразить благодарность сотруднику охраны пятерочки Хамзату Катаеву! Он произвел на меня очень хорошее впечатление своей профессиональной и ответственной работой. Хамзат всегда был внимателен к посетителям магазина, помогал разобраться в некоторых вопросах и всегда был готов оказать помощь. Также, он очень доброжелательный и улыбчивый, что создает приятную атмосферу в магазине. Я уверен, что благодаря таким сотрудникам, как Хамзат, пятерочка останется одним из самых уютных и приятных магазинов для посещения. Спасибо ему за его работу и за то, что делает нашу жизнь лучше!"
41,5,"Пожалуй, лучшая пятёрочка!(в районе,точно)"
42,5,"Новый хороший магаз, есть кассы самообслуживания! Правда пива в холодильнике нету . а так даже перекусить много чего! Выпечка своя, хлеб и тд"
43,5,"Очень хороший магазин. Выглядит прям свежо и красиво. В первый раз вижу ""Пятёрочку"" в такой современной стилистике. Персонал вежлив с покупателями."
44,5,"Неплохой ассортимент, удобное местоположение. Приветливые и отзывчивые сотрудники. Рядом стоянка такси, при необходимости можно воспользоваться и не тянуть руки."
45,5,"Магазин очень хороший, всегда чисто отзывчивые продавцы всегда помогут в выборе товара , вежливые мне очень нравится этот магазин хожу с удовольствием."
46,5,"Часто захожу, цены умеренные, кассиры профессиональны. Ассортимент товаров широкий, часто бывают скидки."
47,5,"Дружелюбный персонал, очередей считай нет. Всегда при необходимости оперативно открывают 2 и 3 кассы.\nРядом с домом, хороший ассортимент товаров."
48,5,"Хороший магазин. Всё необходимое есть в наличии.  Есть свежая выпечка, пирожки. Ещё бы цены пониже были бы, вообще было бы отлично."
49,5,Отличная Пятерочка! Очень большой выборах товара. Персонал предельно вежлив. Магазин- чистый. Ценники соответствуют. Качество - на высоте. Очереди в час пик- не более 3- 5человек. Кассиры - профессионалы. Магазин расположен в 2 мин. от остановок гор. Транспорта. Всем рекомендую
50,5,"Пятёрочка норм, есть кассы самообслуживания, целых четыре штуки. Галю не зовут, продавцы и охрана последние три года одни и те же, запаха нет, просрочку не встречал."
51,5,"Магазин хороший,найдете там почти все что угодно,я замечал что там все свежее и продукты и сам стиль здания."
52,5,"Нормальный магазин, стандартный набор продуктов можно приобрести. Цены средние, дешевле,чем в некоторых сетевых.В магазине хороший ремонт, всегда чисто и уютно. На кассе обслуживают быстро."
53,5,"Чисто, красиво, сервис. Рекомендую"
54,5,"Очень хороший магазин, добрые и отзывчивые сотрудники, выгодные цены, чистота и порядок в магазине, всегда есть корректные ценники. \nВсем советую этот магазин"
55,5,"Отличный магазин,отличное обслуживание,разнообразие товара,всегда все свежее,доброжелательное отношение персонала."
56,5,"очень приятный молодой персонал, вкусная свежая выпечка, светло, легко найти продукты , просрочки нет, очень вкусные торты и кексы, большой ассортимент товара."
